CONTROLE DE PROCESSOS (TEMPO MÉDIO NA UNIDADE);;;;;;;;;;;;;
NÚMERO DO PROCESSO (SIPAC/SEI!);DATA DE ENTRADA (RECEBIMENTO OU ABERTURA);RESPONSÁVEL PELO RECEBIMENTO / ABERTURA;LOCAL DE ORIGEM;ASSUNTO DETALHADO (SIPAC / SEI!);DESPACHO / AÇÃO A SER EXECUTADA (RESUMIDO);PROCESSO SOBRESTADO?;MOTIVO DO SOBRESTAMENTO;TEMPO DE SOBRESTAMENTO (DIAS);DATA DE ENCAMINHAMENTO (SAÍDA);RESPONSÁVEL PELO ENCAMINHAMENTO (SAÍDA);DESPACHO / AÇÃO DE ENCAMINHAMENTO (RESUMIDO);LOCAL DE DESTINO;TEMPO DO PROCESSO NO SETOR (DIAS)
23113.041783/2022-23;3/10/2022;Douglas;CAEFI;REGISTRO DE PREÇOS PARA AQUISIÇÃO DE INSTRUMENTO MUSICAIS E EQUIPAMENTOS AUDIOVISUAIS, PARA DIVERSOS SETORES E DEPARTAMENTOS NO ÂMBITO DA UNIVERSIDADE FEDERAL DE SERGIPE.;"Após análise, considerando a IN 73/2020/SEGES e os orçamentos anexados ao processo, observamos que as sugestões do despacho da CAEFI à página 234 foram atendidas. Quanto ao Item 3 do despacho supracitado, concordamos com o entendimento da PROPLAN, a fim de se evitar futuros questionamentos acerca da existência do direito. Sugere-se apenas o estabelecimento expresso do índice a ser utilizado, neste caso o IPCA.
No mais, consideramos satisfatória a pesquisa de preço e o valor estimado.";NÃO;;0;3/10/2022;Douglas;"Encaminho a presente instrução processual, após manifestação da CAEFI, para continuidade dos trâmites das fases internas e externas do processo licitatório, visando operar licitação por REGISTRO DE PREÇOS, justificado através dos Incisos II e IV do Decreto nº 7.892/2013.
A presente demanda está de acordo com os objetivos institucionais da UFS e visa viabilizar as atividades acadêmica, pedagógica e administrativa, ao equipar os espaços do CODAP, CINTEC, DMU e DCOS com diversos equipamentos audiovisuais, para um melhor desempenho.A aquisição vai ao encontro do planejado no Plano Anual de Compras da UFS estando, dessa forma, devidamente autorizada pela Pró-Reitoria de Planejamento e prevista no PGC 2023, conforme DFD nº 938/2022.";DRM;0
23113.042166/2019-40;4/10/2022;Eloisa;DOFIS;CONSTRUÇÃO DO COMPLEXO: VIVÊNCIA, ADMINISTRATIVO, BIBLIOTECA E RESTAURANTE - 3ª ETAPA DO CAMPUS DO SERTÃO - FAZENDA EXPERIMENTAL - N. SRA. DA GLÓRIA.;Para validar instrução processual e encaminhar o 7º aditivo ao contrato 66/2019, ao GR, para assinatura.;NÃO;;0;4/10/2022;Eloisa;Após análise, encaminho o presente processo para assinatura do Magnífico Reitor no 7º aditivo ao contrato 66/2019, e posterior devolução à COPEC.;GR;0
23113.006552/2022-78;4/10/2022;Eloisa;COPEC;CONCORRÊNCIA - CONCESSÃO DE ESPAÇO PÚBLICO - CAMPUS ITABAIANA - REPROGRAFIA;Para análise quanto à regular instrução do processo e quanto ao envio ao GR.;NÃO;;0;4/10/2022;Sérgio;Após análise, encaminho o presente processo para assinatura do Magnífico Reitor e posterior envio à COPEC.;GR;0
23113.027284/2022-04;4/10/2022;Eloisa;COPEC;CONVÉNIO DE COOPERAÇÃO ENTRE A UNIVERSIDADE JEAN PIAGET DE CABO VERDE E A UNIVERSIDADE FEDERAL DE SERGIPE (BRASIL);Para análise quanto à regular instrução do processo e quanto ao envio ao GR.;NÃO;;0;4/10/2022;Eloisa;Encaminho o presente processo para assinatura do Magnífico Reitor e posterior devolução à COPEC. ;GR;0
23113.038098/2022-93;5/10/2022;Eloisa;COPEC;CONVÊNIO ENTRE A UFS E O GAEEE (SUI GENERIS) COM FINS DE OPERACIONALIZAÇÃO DE PROGRAMAS DE ESTÁGIO CURRICULAR PARA ALUNOS DA UFS.;Para validar instrução processual e encaminhar o convênio entre UFS e  GAEE, ao GR, para assinatura.;NÃO;;0;5/10/2022;Eloisa;Encaminho o presente processo para assinatura do Magnífico Reitor e posterior devolução à COPEC. ;GR;0
23113.004791/2021-98;6/10/2022;Eloisa;COPEC;"CONVÊNIO ENTRE A UFS, A DIACONIA E A FAPESE, VISANDO A EXECUÇÃO DO PROJETO ""ALGODÃO EM CONSÓRCIOS AGROECOLÓGICOS E ACESSO AOS MERCADOS"".";Para validar instrução processual e encaminhar o convênio entre UFS e  GAEE, ao GR, para assinatura.;NÃO;;0;6/10/2022;Eloisa;Encaminho o presente processo para assinatura do Magnífico Reitor e posterior devolução à COPEC. ;GR;0
23113.014338/2022-55;6/10/2022;Eloisa;INFRAUFS;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS CONTÍNUOS DE MOTORISTAS HABILITADOS COM CATEGORIA D OU E, COM FORNECIMENTO DE MÃO DE OBRA COM DEDICAÇÃO EXCLUSIVA, PARA ATENDER ÀS NECESSIDADES DA UNIVERSIDADE FEDERAL DE SERGIPE.;Segue para conhecimento.;NÃO;;0;6/10/2022;Eloisa;Enacaminho o presente processo para dar andamento aos trâmites referente a contratação dos seviços.;COPEC;0
23113.035068/2022-35 ;7/10/2022;Eloisa;COPEC;TERMO DE COOPERAÇÃO TÉCNICA ENTRE A UFS E O IPAESE.;Para encaminhar para assinatura do Reitor. ;NÃO;;0;7/10/2022;Eloisa;Após análise, encaminho o processo para assinatura do Magnífico Reitor no termo de convênio a ser celebrado com o IPAESE, e posterior devolução à COPEC. ;GR;0
23113.044033/2022-92;7/10/2022;Eloisa;DRM;PREGÂO ELETRÔNICO Nº.: 85/2022 AQUISIÇÃO DE CARIMBOS 2022;"Solicitando manifestação com relação ao PAC, após despacho favorável da CAEFI com relação a pesquisa de preços e
as devidas correções.";NÃO;;0;7/10/2022;Sérgio;"Considerando a natureza do processo, chamo atenção, ainda, a um ponto importante, é imperioso que a mesma seja executada pelo Sistema de Registro de Preços, tendo em vista que a tendência é que as demandas por carimbos sejam bruscamente reduzidas com a implementação do SEI! na nossa Universidade, o que dispensará completamente a utilização dessa ferramenta. Assim, deixo em aberto a possibilidade de exclusão dessa demanda nos próximos exercícios.
";DRM;0
23113.024374/2022-04;7/10/2022;Eloisa;COPEC;REFORMA COM RECUPERAÇÃO ESTRUTURAL NA DIDÁTICA II;Para encaminhar para assinatura do Reitor. ;NÃO;;0;7/10/2022;Eloisa;Após análise, encaminho o processo para assinatura do Magnífico Reitor no contrato a ser firmado com a A.G.E. Manutenção e Reformas Eireli Epp, e posterior devolução à COPEC.;GR;0
23113.031913/2022-54 ;7/10/2022;Eloisa;PROAD;PROCEDIMENTO REFERENTE A UMA POSSÍVEL APLICAÇÃO DE PENALIDADES CONTRA A EMPRESA CSX CONSTRUÇÕES LTDA. PELA NÃO EXECUÇÃO DO CONTRATO Nº 070/2021-UFS;"Para ciência da NOTA n. 00105/2022/C-PFSE-UFS/PFUFS/PGF/AGU (fl. 143);";NÃO;;0;7/10/2022;Sérgio;"Considerando a sugestão de penalidade emitida no despacho às páginas 131-132, devidamente validada pela PROPLAN e convalidada pela  NOTA n. 00105/2022/C-PFSE-UFS/PFUFS/PGF/AGU, páginas 143-144, devolvo para as seguintes providências.1. Encaminhamento de ofício ao fornecedor, tomando como base o modelo em anexo (página 146), informando da aplicação da sanção e abrindo prazo de 10 (dez) dias para apresentação de recurso. Enviar cópia integral do presente processo para conhecimento da empresa;2. Juntar comprovante de recebimento do ofício ao processo. Caso não haja sucesso por e-mail, encaminhar à COPEC para envio de correspondência via AR ou citação no DOU, caso haja sucesso, aguardar o decurso do prazo;3. Superado o prazo para apresentação de recurso, encaminhar o processo à PROPLAN indicando se houve apresentação ou não de recurso, em caso positivo, juntar a peça ao processo.
";DOFIS;0
23113.044282/2022-62;7/10/2022;Eloisa;DOFIS;"REFORMA PARA REFORÇO ESTRUTURAL DOS AMBULATÓRIOS (INFANTIL E ADULTO), BLOCO 03 (SALA DE ESPERA
/ RAIO X / ATENDIMENTO) DO DEPARTAMENTO DE ODONTOLOGIA DO HOSPITAL UNIVERSITÁRIO / UNIVERSIDADE
FEDERAL DE SERGIPE, ARACAJU/SE,";"Considerando que a previsão de início da execução dos serviços é janeiro de 2023 devido aos trâmites processuais
necessários.
Informo que sistema PGC 2023 foi alimentado com o DFD da contratação em tela (cópia anexa).";NÃO;;0;7/10/2022;Sérgio;Solicito manifestação quanto a formação do preço médio do futuro certame licitatório, bem como seus efeitos nos itens que formam o Planejamento da Contratação.;CAEFI;0
23113.007682/2022-26;7/10/2022;Eloisa;INFRAUFS;CONTRATAÇÃO DE EMPRESA DE MANUTENÇÃO EM ESTUFAS DAS UNIDADES DA UFS;Para providências;NÃO;;0;7/10/2022;Sérgio;Ademais, apontar caso haja qualquer necessidade de intervenção nos efeitos e correlações dos preços com os demais documentos do planejamento da contratação, bem como qualquer necessidade de adequação que seja verificada.;CAEFI;0
