CONTROLE DE PROCESSOS (TEMPO MÉDIO NA UNIDADE);;;;;;;;;;;;;
;;;;;;;;;;;;;
NÚMERO DO PROCESSO (SIPAC/SEI!);DATA DE ENTRADA (RECEBIMENTO OU ABERTURA);RESPONSÁVEL PELO RECEBIMENTO / ABERTURA;LOCAL DE ORIGEM;ASSUNTO DETALHADO (SIPAC / SEI!);DESPACHO / AÇÃO A SER EXECUTADA (RESUMIDO);PROCESSO SOBRESTADO?;MOTIVO DO SOBRESTAMENTO;TEMPO DE SOBRESTAMENTO (DIAS);DATA DE ENCAMINHAMENTO (SAÍDA);RESPONSÁVEL PELO ENCAMINHAMENTO (SAÍDA);DESPACHO / AÇÃO DE ENCAMINHAMENTO (RESUMIDO);LOCAL DE DESTINO;TEMPO DO PROCESSO NO SETOR (DIAS)
23113.037906/2022-39;1/9/2022;Eloisa;CAEFI;PREGÂO ELETRÔNICO Nº.: 68/2022 AQUISIÇÃO DE MATERIAL DE CONSUMO PARA O CAMPUS LAGARTO;Para manifestação quanto ao PAC, após considerar satisfatório os valores de referência.;NÃO;;0;1/9/2022;Estela;Informo que devido a processo de migração de dados do sistema do PAC antigo (2022) para o novo (2023), os mesmos estão inoperantes. Impossibilitando sua alimentação. A demanda será devidamente registrada e cadastrada quando o sistema estiver em conformidade. Desta forma,  encaminho para prosseguimento visando não frustrar a necessidade institucional.;DRM;0
23113.021616/2021-74;1/9/2022;Eloisa;CPCFJL;CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DA OBRA DE REFORMA COM REFORÇO ESTRUTURAL DA LAJE DE TETO/PISO PARA IMPLANTAÇÃO DA ACADEMIA DE MUSCULAÇÃO E GINÁSTICA DA UFS NO PAVIMENTO SUPERIOR DA VIVÊNCIA DA UNIVERSIDADE NO CAMPUS DE SÃO CRISTÓVÃO.;Por solicitação.;NÃO;;0;1/9/2022;Estela;Solicito atualização da planilha de acompanhamento de obras e posterior envio do processo a CPCFJL.;COGEPRO;0
23113.036736/2022-07;1/9/2022;Eloisa;CAEFI;AQUISIÇÃO DE NOBREAK DE 10KVA PARA O DCEM;"consideramos satisfatório o valor de referência apresentado.
Mesmo desconsiderando o orçamento tido como inválido por não ter sido assinado, e utilizando a mediana dos demais valores pesquisados, o valor de referência se situa praticamente no mesmo patamar da pesquisa com 3 orçamentos (página 4).";NÃO;;0;1/9/2022;Estela;Devido a processo de migração de dados do sistema do PAC antigo (2022) para o novo (2023), os mesmos estão inoperantes. Impossibilitando sua alimentação. A demanda será devidamente registrada e cadastrada quando o sistema estiver em conformidade. Encaminho para prosseguimento visando não frustrar a necessidade institucional.;DRM;0
23113.007187/2022-05;1/9/2022;Estela;PGE;APURAÇÃO DE RESPONSABILIDADE EMPRESA ACESSO PRODUTOS ALIMENTICIOS EIRELI, CNPJ 08.998.109/0001-71;"Aprovo a NOTA n. 00028/2022/PROC/PFUFS/PGF/AGU de lavra do Dr. Silas Coutinho de F Alves ,
anexada aos autos.";NÃO;;0;1/9/2022;Estela;Segue processo para a análise do Reitor quanto a  aplicação da penalidade proposta.;GR;0
23113.037207/2022-94;1/9/2022;Estela;COPEC;LICITAÇÃO DOS SERVIÇOS DE ALIMENTAÇÃO COLETIVA DOS RESTAURANTES UNIVERSITÁRIOS DA UFS;Para juntada da ata da reunião da COPCON realizada em 26 de agosto de 2022, com as assinaturas dos membros da Comissão e subsequente envio à CANUT.;SIM;Aguardando assinatura do Membro da COPCON na ata da Reunião do dia 26/08.;1;2/9/2022;Estela;Para providenciar documentação relativa ao planejamento de contratação. Informamos que a ata da reunião COPCON está em anexo;CANUT;0
23113.005598/2020-40;1/9/2022;Eloisa;COGEPRO;CONCLUSÃO DO PRÉDIO PARA ABRIGAR O DEPARTAMENTO DE CIÊNCIAS FLORESTAL (DCF) E O DEPARTAMENTO ENGENHARIA AGRONÔMICA (DEA) NA UNIVERSIDADE FEDERAL DE SERGIPE (UFS);Informamos que o saldo disponível na ação 8282, Fonte 8100 e PTRES 170344 é de R$ 7.038,64. Não contemplando o valor R$ 22.043,71 (majorado) solicitado na página 5.778 do processo 23113.005598/2020-40.;NÃO;;0;1/9/2022;Estela;Considerando a nova estimativa das licitaçãoes para o exercício de 2022, conforme posicionamento da DOFIS (planilhas em anexo). Informamos que a licitação relativa a obra e serviço da academia UFS (processo  23113.021616/2021-74) não tem previsão para ocorrer no exercício atual.Desta forma, solicito atualização da planilha de acompanhamento de obras, além de  informar Fonte e PTRES e posterior encaminhamento a PROAD.;COGEPRO;0
23113.020676/2022-37;17/8/2022;Eloisa;CAEFI; AQUISIÇÃO DE SISTEMAS FOTOVOLTAICOS PARA AS DIDÁTICAS I, II, III E IV DO CAMPUS SÃO CRISTÓVÃO DA UNIVERSIDADE FEDERAL DE SERGIPE – UFS;"pós análise dos orçamentos e da Planilha de Composição de Preços apresentada pela Assessoria Técnica
da Pró-Reitoria de Planejamento (PROPLAN), consideramos satisfatórios os valores de referência
apresentados.
Alertamos, contudo, para a necessidade de observar com mais rigor os procedimentos administrativos para a
realização de pesquisa de preços contidos na Instrução Normativa Nº 73, de 5 de agosto de 2020:
";SIM;Aguardando atualização de orçamentos por parte das empresas.;29;16/9/2022;Douglas;"À Coordenação de Custos e Avaliação Econômico-Financeira (CAEFI),


Após apreciação e orientações presentes à pág. 116, feitas por esta coordenação, os fornecedores foram consultados formalmente para atualização e adequação das propostas com base na Instrução Normativa Nº 73 de 5 de agosto de 2020. Houve diversas consultas e tentativas de contato, sem êxito. Assim, os orçamentos foram descartados por não estarem de acordo com os procedimentos administrativos para a realização de pesquisa de preços da supracitada IN.


Para não prejudicar o andamento do processo de aquisição, utilizou-se como referência para pesquisa de preços o Parâmetro I, Painel de Preços do Governo, conforme orienta o Inciso I, art. 5º da IN 73/2020. Assim, solicito análise dos preços levantados, especificamente em relação aos arquivos:


1. Orçamentos (págs. 127-132); e

2. Planilha de Composição de Preços (págs. 133-135).


Ademais, apontar caso haja qualquer necessidade de intervenção nos efeitos e correlações dos preços, bem como qualquer necessidade de adequação que seja verificada.

Em tempo, informo que seguem anexos ao presente processo cópias das solicitações formais (pág. 118-126) e planilha com o cálculo dos preços (pág. 136), utilizada como referência para o valor médio presente na PCP.

Com o intuito de evitar ""sujar"" o processo em caso de correções e ajustes, os demais documentos do planejamento de contratação (Estudo Técnico Preliminar e Termo de Referência) serão anexados posteriormente, após conformidade da documentação.";CAEFI;0
23113.037110/2021-97;16/8/2022;Eloisa;DOFIS;REFORMA PARA MANUTENÇÃO, REPAROS GERAIS E ACESSIBILIDADE DA ESTAÇÃO UFS - UNIVERSIDADE FEDERAL DE SERGIPE.;"Informo que estamos em contato direto com os analistas para sanar as dúvidas e viabilizar a liberação da TED.
Até o presente momento enviamos as informações solicitadas pela diligência e estamos aguardando o retorno da análise.";SIM;Sérgio Justificar;16;2/9/2022;Estela;" Informar que o prédio Estação UFS sofre ocupação / invasão, conforme consta no  processo administrativo 23113.009522/2022-10 e judicial 0801171-22.2022.4.05.8500 - OCUPAÇÃO DE PRÉDIO.
Diante do exposto, ressaltamos que não é viável proceder a assinatura do contrato sem que haja nova sinalização no processo judicial em questão.";DOFIS;0
23113.004994/2022-46;11/7/2022;Eloisa;COPEC;PROCEDIMENTO DE IMPLANTAÇÃO DO PROGRAMA TRANSFORMAGOV NO ÂMBITO DA UNIVERSIDADE FEDERAL DE SERGIPE;Para guarda dos autos e acompanhamento do Acordo de Cooperação nº 2596.036/2022-UFS celebrado com o Ministério da Economia, através da SEGES/SEDGG.O citado Acordo vigerá durante um prazo de 10 (dez) anos, com encerramento em 12/06/2032.;SIM;Para guarda do Pró-Reitor.;30;;;Para o mês seguinte;;
23113.039168/2022-12;2/9/2022;Eloisa;COPEC;	PERMISSÃO DE USO DE ESPAÇO FÍSICO PARA REALIZAÇÃO DO CONCURSO DE ADMISSÃO À ESCOLA DE SARGENTOS DAS ARMAS-ESA DO EXÉRCITO BRASILEIRO.;Para assinatura do Reitor. ;NÃO;;0;2/9/2022;Estela;Segue processo para assinatura do reitor e  posterior devolução à COPEC.;GR;0
